datetime,timestamp,open,high,low,close
2026-04-03 00:00:00,1775174400,34187.9671,34484.2779,34078.0477,34392.6118
2026-04-03 01:00:00,1775178000,34387.6547,34596.4020,34299.8855,34399.8250
2026-04-03 02:00:00,1775181600,34403.1014,34606.3003,34203.7726,34574.5385
2026-04-03 03:00:00,1775185200,34575.3812,34956.2976,34442.4290,34902.5124
2026-04-03 04:00:00,1775188800,34907.5447,34949.8112,34554.2101,34765.2777
2026-04-03 05:00:00,1775192400,34769.4137,34856.9835,34538.8926,34735.7753
2026-04-03 06:00:00,1775196000,34738.8616,34863.6847,34392.9601,34448.3340
2026-04-03 07:00:00,1775199600,34445.8470,34707.3233,34143.6315,34698.4096
2026-04-03 08:00:00,1775203200,34698.6740,34763.1464,34236.7850,34396.1112
2026-04-03 09:00:00,1775206800,34392.8930,34657.5472,34360.8480,34485.5684
2026-04-03 10:00:00,1775210400,34484.2498,34554.1880,34159.2132,34213.7322
2026-04-03 11:00:00,1775214000,34221.5473,34436.5746,34038.5073,34054.8741
2026-04-03 12:00:00,1775217600,34058.9614,34466.0209,34041.5838,34362.1772
2026-04-03 13:00:00,1775221200,34370.7863,34908.3931,34361.9674,34765.4788
2026-04-03 14:00:00,1775224800,34766.8675,34779.0259,34173.0777,34229.5365
2026-04-03 15:00:00,1775228400,34216.1764,34279.8530,33864.7683,33868.8793
2026-04-03 16:00:00,1775232000,33862.7432,34074.4813,33722.2818,34010.2331
2026-04-03 17:00:00,1775235600,34010.1546,34142.7960,33922.8557,34010.4862
2026-04-03 18:00:00,1775239200,34009.9480,34244.8280,33956.3418,34139.1482
2026-04-03 19:00:00,1775242800,34138.8134,34194.8581,33838.1073,33892.1866
2026-04-03 20:00:00,1775246400,33896.0363,34161.9617,33715.2111,33772.7843
2026-04-03 21:00:00,1775250000,33771.5406,34155.1928,33581.6894,34000.9258
2026-04-03 22:00:00,1775253600,34003.3780,34144.3645,33576.4397,33658.2113
2026-04-03 23:00:00,1775257200,33659.2496,33827.2116,33632.9557,33797.4767
2026-04-04 00:00:00,1775260800,33790.0536,34026.0445,33708.8339,33867.3592
2026-04-04 01:00:00,1775264400,33868.3304,34176.9349,33839.6422,33963.3959
2026-04-04 02:00:00,1775268000,33973.6816,34191.7957,33838.4645,33988.9255
2026-04-04 03:00:00,1775271600,33983.1328,34342.6479,33927.7757,34331.7247
2026-04-04 04:00:00,1775275200,34328.9786,34601.5907,34212.6607,34482.4415
2026-04-04 05:00:00,1775278800,34479.8348,34479.8348,34195.3436,34333.0235
2026-04-04 06:00:00,1775282400,34342.4381,34546.1036,34239.6627,34457.6476
2026-04-04 07:00:00,1775286000,34453.8691,34471.3674,34217.5507,34222.5686
2026-04-04 08:00:00,1775289600,34231.1026,34300.0933,34014.7341,34046.3080
2026-04-04 09:00:00,1775293200,34050.0327,34091.8171,33758.7340,33956.1154
2026-04-04 10:00:00,1775296800,33959.4078,34114.0723,33862.3352,33907.4666
2026-04-04 11:00:00,1775300400,33914.2090,34004.1346,33610.1056,33721.7016
2026-04-04 12:00:00,1775304000,33729.8162,34047.5929,33649.0858,33649.0858
2026-04-04 13:00:00,1775307600,33641.9961,33843.8641,33521.4752,33728.2018
2026-04-04 14:00:00,1775311200,33714.0892,33964.5815,33604.4522,33804.4226
2026-04-04 15:00:00,1775314800,33799.4577,33876.5005,33539.2699,33584.6254
2026-04-04 16:00:00,1775318400,33578.8076,33827.9162,33475.2767,33785.7303
2026-04-04 17:00:00,1775322000,33791.1813,34019.3989,33755.8907,33833.1965
2026-04-04 18:00:00,1775325600,33829.5559,34048.2197,33649.4148,33967.1540
2026-04-04 19:00:00,1775329200,33970.4822,34188.7519,33676.7564,33814.0009
2026-04-04 20:00:00,1775332800,33816.0301,34177.2490,33657.4233,33672.7555
2026-04-04 21:00:00,1775336400,33674.9527,33916.7728,33491.9981,33607.8149
2026-04-04 22:00:00,1775340000,33605.8513,34215.2963,33526.0014,34108.5830
2026-04-04 23:00:00,1775343600,34125.3137,34279.6110,33944.5229,34161.2994
2026-04-05 00:00:00,1775347200,34171.1644,34272.6901,33841.4469,33963.4497
2026-04-05 01:00:00,1775350800,33955.1783,33987.1852,33579.2486,33661.3139
2026-04-05 02:00:00,1775354400,33665.0450,33759.1949,33447.8088,33543.7728
2026-04-05 03:00:00,1775358000,33548.8401,33669.7054,33353.7648,33437.5612
2026-04-05 04:00:00,1775361600,33426.2076,33995.8289,33388.7980,33750.4397
2026-04-05 05:00:00,1775365200,33756.0396,33919.1916,33634.3147,33853.8945
2026-04-05 06:00:00,1775368800,33850.6348,34079.3056,33765.0248,33968.3075
2026-04-05 07:00:00,1775372400,33966.3800,34096.0822,33650.3418,33909.7965
2026-04-05 08:00:00,1775376000,33896.4030,34153.1240,33738.5091,34064.1521
2026-04-05 09:00:00,1775379600,34057.9516,34078.3039,33374.7605,33374.8044
2026-04-05 10:00:00,1775383200,33380.1057,33433.2317,33009.9400,33275.6463
2026-04-05 11:00:00,1775386800,33270.6145,33407.6753,32911.1963,32956.4804
2026-04-05 12:00:00,1775390400,32950.4858,33224.6603,32737.7586,32793.5593
2026-04-05 13:00:00,1775394000,32797.2382,32941.5958,32680.6486,32774.7978
2026-04-05 14:00:00,1775397600,32770.4218,32953.5284,32665.6389,32911.5637
2026-04-05 15:00:00,1775401200,32904.3655,32951.6908,32462.7796,32940.9486
2026-04-05 16:00:00,1775404800,32938.4929,33069.4042,32557.5270,32739.2538
2026-04-05 17:00:00,1775408400,32732.2884,33097.4594,32701.8142,32725.8527
2026-04-05 18:00:00,1775412000,32718.0363,33087.7331,32681.8738,32841.3818
2026-04-05 19:00:00,1775415600,32842.8522,33319.5792,32814.2829,33258.4134
2026-04-05 20:00:00,1775419200,33263.4910,33345.0209,32950.8118,33029.5507
2026-04-05 21:00:00,1775422800,33033.3331,33320.1404,32974.2041,33032.2764
2026-04-05 22:00:00,1775426400,33025.5118,33196.6182,32891.8750,33153.2438
2026-04-05 23:00:00,1775430000,33151.4515,33369.7444,33107.6918,33141.4666
2026-04-06 00:00:00,1775433600,33140.3398,33155.5137,32823.7276,32913.8043
2026-04-06 01:00:00,1775437200,32912.9843,33090.5977,32791.9342,33004.2902
2026-04-06 02:00:00,1775440800,32998.7303,33455.1958,32909.8205,33410.4600
2026-04-06 03:00:00,1775444400,33417.6464,33442.5445,32963.3894,33080.8956
2026-04-06 04:00:00,1775448000,33077.0377,33092.5352,32662.0456,32843.5454
2026-04-06 05:00:00,1775451600,32849.3808,32931.8473,32530.4795,32530.4795
2026-04-06 06:00:00,1775455200,32524.5431,32761.8717,32512.9165,32651.6308
2026-04-06 07:00:00,1775458800,32650.8584,32663.6514,32377.4094,32581.8519
2026-04-06 08:00:00,1775462400,32579.6287,32826.2444,32380.1521,32773.1907
2026-04-06 09:00:00,1775466000,32770.8364,33161.1695,32702.9449,32750.4087
2026-04-06 10:00:00,1775469600,32753.1403,32889.5264,32618.6407,32877.1745
2026-04-06 11:00:00,1775473200,32881.9558,33397.2846,32782.8955,33379.8998
