datetime,timestamp,open,high,low,close
2016-08-19 04:00:00,1471579200,10131.4800,10145.1800,10074.7300,10085.1300
2016-08-19 08:00:00,1471593600,10084.3500,10273.9000,10056.8800,10138.0400
2016-08-19 12:00:00,1471608000,10137.6000,10351.9000,10078.2300,10338.4800
2016-08-19 16:00:00,1471622400,10336.7800,10632.2500,10295.2700,10579.8600
2016-08-19 20:00:00,1471636800,10576.0600,10738.3700,10478.6000,10486.1000
2016-08-22 00:00:00,1471824000,11095.8500,11283.9600,11017.6200,11168.2200
2016-08-22 04:00:00,1471838400,11167.1200,11220.8900,10731.7300,10797.1400
2016-08-22 08:00:00,1471852800,10798.2100,11150.7800,10786.1700,11139.2400
2016-08-22 12:00:00,1471867200,11137.3900,11264.3400,10968.6400,11052.3700
2016-08-22 16:00:00,1471881600,11050.4700,11146.6500,10904.6500,11063.0100
2016-08-22 20:00:00,1471896000,11061.6200,11303.9000,10980.8700,11263.2900
2016-08-23 00:00:00,1471910400,11266.1600,11400.1900,11062.8200,11389.3000
2016-08-23 04:00:00,1471924800,11389.3500,11925.4200,11387.3700,11913.8500
2016-08-23 08:00:00,1471939200,11913.7500,11991.8500,11683.2300,11695.9300
2016-08-23 12:00:00,1471953600,11692.9200,12076.0400,11644.9900,12050.2100
2016-08-23 16:00:00,1471968000,12051.0200,12108.5700,11801.1400,11811.9500
2016-08-23 20:00:00,1471982400,11810.9400,12071.1000,11662.7900,12069.5700
2016-08-24 00:00:00,1471996800,12068.6300,12145.0500,11886.6100,11903.1700
2016-08-24 04:00:00,1472011200,11901.1200,11941.0400,11683.5800,11716.1300
2016-08-24 08:00:00,1472025600,11716.0900,11837.2800,11634.8700,11735.5500
2016-08-24 12:00:00,1472040000,11737.5600,12033.3300,11706.9300,12003.9600
2016-08-24 16:00:00,1472054400,12004.5700,12286.2700,11954.3400,12261.9900
2016-08-24 20:00:00,1472068800,12260.0300,12591.8200,12197.1200,12474.1400
2016-08-25 00:00:00,1472083200,12473.9900,12494.4900,12213.3100,12310.9200
2016-08-25 04:00:00,1472097600,12312.1100,12575.7200,12287.5700,12490.9900
2016-08-25 08:00:00,1472112000,12491.8300,12663.7600,12372.1600,12530.0500
2016-08-25 12:00:00,1472126400,12527.3700,12994.8200,12512.4500,12967.9900
2016-08-25 16:00:00,1472140800,12969.3800,12996.5900,12791.1200,12915.0800
2016-08-25 20:00:00,1472155200,12914.6400,13430.7800,12842.0700,13388.7100
2016-08-26 00:00:00,1472169600,13385.3800,13519.6200,13214.4300,13455.2500
2016-08-26 04:00:00,1472184000,13451.1600,13480.6900,13223.0300,13302.3200
2016-08-26 08:00:00,1472198400,13303.3000,13482.9800,13165.4600,13463.7100
2016-08-26 12:00:00,1472212800,13465.2200,13554.2300,13223.5200,13327.6700
2016-08-26 16:00:00,1472227200,13330.4700,13777.2200,13315.2800,13449.0800
2016-08-26 20:00:00,1472241600,13448.7700,13717.0300,13399.4000,13520.0000
2016-08-29 00:00:00,1472428800,14005.4600,14023.6000,13721.7600,13945.7400
2016-08-29 04:00:00,1472443200,13949.0600,13985.3400,13624.6600,13757.7400
2016-08-29 08:00:00,1472457600,13758.5900,13815.9400,13599.3700,13638.0100
2016-08-29 12:00:00,1472472000,13641.1000,13795.4800,13479.1800,13713.1800
2016-08-29 16:00:00,1472486400,13713.2700,13780.5500,13490.9400,13534.6300
2016-08-29 20:00:00,1472500800,13532.2900,13732.5000,13495.2800,13589.7500
2016-08-30 00:00:00,1472515200,13590.3400,13604.2600,13270.9600,13321.1500
2016-08-30 04:00:00,1472529600,13320.4800,13400.4900,13184.5800,13265.2200
2016-08-30 08:00:00,1472544000,13271.4600,13387.5900,12967.3900,13017.4600
2016-08-30 12:00:00,1472558400,13017.3100,13017.3100,12628.4800,12648.7200
2016-08-30 16:00:00,1472572800,12646.4700,12797.0500,12588.6000,12730.0000
2016-08-30 20:00:00,1472587200,12731.6300,12751.0200,12501.5600,12546.6700
2016-08-31 00:00:00,1472601600,12546.8700,12894.3900,12541.4000,12787.0300
2016-08-31 04:00:00,1472616000,12789.9700,12967.2800,12724.4400,12739.9700
2016-08-31 08:00:00,1472630400,12738.7800,12775.8300,12482.7500,12652.5200
2016-08-31 12:00:00,1472644800,12653.8300,12965.6500,12444.8800,12953.6000
2016-08-31 16:00:00,1472659200,12954.4500,13048.8000,12846.6900,12880.7500
2016-08-31 20:00:00,1472673600,12880.3800,12887.5200,12606.6300,12733.9500
2016-09-01 00:00:00,1472688000,12733.5100,12916.9200,12550.5900,12821.2600
2016-09-01 04:00:00,1472702400,12824.1700,13201.3700,12814.5800,13190.1700
2016-09-01 08:00:00,1472716800,13191.2800,13287.9200,13099.0800,13135.3600
2016-09-01 12:00:00,1472731200,13136.5000,13364.7100,13000.7300,13344.3200
2016-09-01 16:00:00,1472745600,13348.1800,13403.0400,13100.8100,13253.9500
2016-09-01 20:00:00,1472760000,13252.3900,13381.9300,13047.0800,13342.5200
2016-09-02 00:00:00,1472774400,13345.7200,13505.6200,13244.5000,13400.4700
