datetime,timestamp,open,high,low,close
2026-04-03 00:05:00,1775174700,34184.6403,34248.3030,34126.7453,34148.3268
2026-04-03 00:10:00,1775175000,34143.9124,34174.9991,34078.0477,34090.7189
2026-04-03 00:15:00,1775175300,34090.0243,34228.1152,34084.2356,34195.7246
2026-04-03 00:20:00,1775175600,34193.5468,34337.4590,34148.9817,34337.4590
2026-04-03 00:25:00,1775175900,34342.4979,34375.5758,34292.4519,34323.9959
2026-04-03 00:30:00,1775176200,34324.8047,34423.9102,34285.2225,34311.5527
2026-04-03 00:35:00,1775176500,34317.1356,34418.8796,34304.8915,34383.9606
2026-04-03 00:40:00,1775176800,34378.3163,34484.2779,34351.2871,34351.2871
2026-04-03 00:45:00,1775177100,34346.2964,34474.4615,34325.9437,34430.6861
2026-04-03 00:50:00,1775177400,34430.8167,34462.0257,34390.0089,34403.2345
2026-04-03 00:55:00,1775177700,34411.6214,34461.1200,34367.3789,34392.6118
2026-04-03 01:00:00,1775178000,34387.6547,34469.5908,34380.6331,34458.8371
2026-04-03 01:05:00,1775178300,34462.8223,34592.6793,34422.1076,34585.9701
2026-04-03 01:10:00,1775178600,34596.4020,34596.4020,34481.7868,34548.6434
2026-04-03 01:15:00,1775178900,34550.6871,34550.6871,34471.0226,34495.6266
2026-04-03 01:20:00,1775179200,34486.2902,34488.8540,34299.8855,34417.5338
2026-04-03 01:25:00,1775179500,34419.4300,34515.1818,34366.1396,34494.0625
2026-04-03 01:30:00,1775179800,34488.6208,34513.8271,34396.2316,34437.6915
2026-04-03 01:35:00,1775180100,34442.0004,34481.2809,34402.4865,34403.8909
2026-04-03 01:40:00,1775180400,34415.9759,34460.0083,34349.3345,34452.2632
2026-04-03 01:45:00,1775180700,34449.5005,34548.2588,34416.9665,34416.9665
2026-04-03 01:50:00,1775181000,34411.9888,34472.6646,34331.6656,34367.2247
2026-04-03 01:55:00,1775181300,34361.7290,34399.8250,34324.9563,34399.8250
2026-04-03 02:00:00,1775181600,34403.1014,34461.7465,34389.4392,34436.2267
2026-04-03 02:05:00,1775181900,34433.4235,34500.7329,34411.0202,34450.5697
2026-04-03 02:10:00,1775182200,34452.7302,34458.8975,34279.6226,34318.0018
2026-04-03 02:15:00,1775182500,34314.2056,34326.4473,34270.4921,34302.0597
2026-04-03 02:20:00,1775182800,34301.5916,34335.7820,34214.5304,34214.5304
2026-04-03 02:25:00,1775183100,34210.7294,34308.6124,34203.7726,34278.2112
2026-04-03 02:30:00,1775183400,34278.3512,34392.2759,34225.6869,34350.4709
2026-04-03 02:35:00,1775183700,34346.0218,34393.2018,34269.3212,34301.6514
2026-04-03 02:40:00,1775184000,34308.1896,34438.6985,34308.1896,34388.3336
2026-04-03 02:45:00,1775184300,34392.6641,34454.0281,34337.1166,34417.5653
2026-04-03 02:50:00,1775184600,34417.6589,34510.9984,34393.5851,34510.6964
2026-04-03 02:55:00,1775184900,34516.7683,34606.3003,34511.4637,34574.5385
2026-04-03 03:00:00,1775185200,34575.3812,34659.3559,34571.8738,34593.4928
2026-04-03 03:05:00,1775185500,34584.5106,34614.2958,34524.0684,34540.1262
2026-04-03 03:10:00,1775185800,34538.3124,34582.2174,34442.4290,34494.6726
2026-04-03 03:15:00,1775186100,34480.6008,34554.5893,34443.4434,34448.8297
2026-04-03 03:20:00,1775186400,34447.6447,34573.6961,34447.6447,34568.3829
2026-04-03 03:25:00,1775186700,34566.0653,34629.6814,34544.6105,34592.1960
2026-04-03 03:30:00,1775187000,34590.2107,34715.9186,34550.2362,34704.9252
2026-04-03 03:35:00,1775187300,34705.2258,34734.7848,34614.4701,34732.7351
2026-04-03 03:40:00,1775187600,34729.9423,34832.2742,34729.9423,34800.1960
